timestamp,agent.name,rule.description,rule.level,rule.id,rule.mitre.id,data.srcip,data.srcport,data.srcuser,full_log
"Aug 6, 2026 @ 12:19:37.279",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,58846,,Aug 06 10:19:31 SOC-LINUX-CLIENT sshd[26560]: Connection reset by invalid user usuario-prueba 192.168.228.1 port 58846 [preauth]
"Aug 6, 2026 @ 12:19:35.275",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-prueba,Aug 06 10:19:29 SOC-LINUX-CLIENT sshd[26560]: Failed password for invalid user usuario-prueba from 192.168.228.1 port 58846 ssh2
"Aug 6, 2026 @ 12:19:33.274",SOC-LINUX-CLIENT,PAM: User login failed.,5,5503,"[""T1110.001""]",192.168.228.1,,,Aug 06 10:19:27 SOC-LINUX-CLIENT sshd[26560]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.228.1
"Aug 6, 2026 @ 12:19:31.271",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,58846,usuario-prueba,Aug 06 10:19:25 SOC-LINUX-CLIENT sshd[26560]: Invalid user usuario-prueba from 192.168.228.1 port 58846
"Aug 6, 2026 @ 12:18:47.157",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,58815,,Aug 06 10:18:42 SOC-LINUX-CLIENT sshd[26556]: Connection reset by invalid user usuario-prueba 192.168.228.1 port 58815 [preauth]
"Aug 6, 2026 @ 12:18:21.109",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-prueba,Aug 06 10:18:15 SOC-LINUX-CLIENT sshd[26556]: Failed password for invalid user usuario-prueba from 192.168.228.1 port 58815 ssh2
"Aug 6, 2026 @ 12:18:19.338",SOC-LINUX-CLIENT,PAM: User login failed.,5,5503,"[""T1110.001""]",192.168.228.1,,,Aug 06 10:18:13 SOC-LINUX-CLIENT sshd[26556]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.228.1
"Aug 6, 2026 @ 12:18:11.098",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,58815,usuario-prueba,Aug 06 10:18:05 SOC-LINUX-CLIENT sshd[26556]: Invalid user usuario-prueba from 192.168.228.1 port 58815
"Aug 6, 2026 @ 12:00:34.330",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-inexistente,Aug 06 10:00:29 SOC-LINUX-CLIENT sshd[26460]: Failed password for invalid user usuario-inexistente from 192.168.228.1 port 62436 ssh2
"Aug 6, 2026 @ 12:00:32.334",SOC-LINUX-CLIENT,PAM: User login failed.,5,5503,"[""T1110.001""]",192.168.228.1,,,Aug 06 10:00:27 SOC-LINUX-CLIENT sshd[26460]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.228.1
"Aug 6, 2026 @ 12:00:32.329",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,62436,usuario-inexistente,Aug 06 10:00:26 SOC-LINUX-CLIENT sshd[26460]: Invalid user usuario-inexistente from 192.168.228.1 port 62436
